Date: [blank]; Name: 1975-66; Position: Marion E. Smith; Department: Assistant Chief, Training and Research; Office: SAM-3/62; Reports: Dated: May 14, 1960.

Date: 28 Jul 1950; Name: "; Position: Charles R. Bixby; Department: Chief, Staff; Office: SR-SO-4; Reports: Dated: July 26, 1950.

Date: 26 Aug 1950; Name: "; Position: John M. Dearing; Department: Chief, Plans and Operations; Office: SR-SO-4; Reports: Dated: August 1, 1950.

Date: 27 Jun 1952; Name: Off; Position: James H. Smith; Department: Assistant Director, Air Force's Special Projects Office; Office: SR-SO-5; Reports: Dated: June 27, 1952.

Date: 27 Aug 1952; Name: Off; Position: Harry W. Grumley; Department: Assistant Director, Air Force's Special Projects Office; Office: SR-SO-5; Reports: Dated: August 2, 1952.

Date: 27 Sep 1952; Name: Off; Position: James H. Grumley; Department: Assistant Director, Air Force's Special Projects Office; Office: SR-SO-5; Reports: Dated: September 2, 1952.

Date: 29 Dec 1952; Name: Off; Position: Thomas J. Cline; Department: Assistant Director, Air Force's Special Projects Office; Office: SR-SO-5; Reports: Dated: December 29, 1952.

Date: 17 Jan 1953; Name: "; Position: Gerald M. Coyle; Department: Director, Special Projects; Office: SR-SO-5; Reports: Dated: January 17, 1953.

Date: 14 Feb 1953; Name: Off; Position: Eugene J. Foustek; Department: Director, Special Projects; Office: SR-SO-5; Reports: Dated: February 14, 1953.

Date: 21 Mar 1953; Name: Off; Position: Eugene J. Foustek; Department: Director, Special Projects; Office: SR-SO-5; Reports: Dated: March 21, 1953.

Date: 28 Mar 1953; Name: Off; Position: Eugene J. Foustek; Department: Director, Special Projects; Office: SR-SO-5; Reports: Dated: April 28, 1953.
