Programa Radial “El Médico y Usted”

Marzo de 1965

1 lunes, número 313: Sarampión.
3 miércoles, número 314: Tuberculosis del tracto femenino.
5 viernes, número 315: Sobre los ríos del rápido crecimiento de las ciudades.
8 lunes, número 316: Mononucleosis infecciosa.
10 miércoles, número 317: Agranulocitosis.
12 viernes, número 318: Sin agua no puede haber vida.
15 lunes, número 319: Útil campaña para dar a conocer la bronquitis crónica.
17 miércoles, número 320: Algunas consideraciones sobre el asma.
19 viernes, número 321: Artritis reumatoidea.
22 lunes, número 322: Algunas corrientes sobre tuberculosis.
24 miércoles, número 323: Colitis ácida.
26 viernes, número 324: “El cera péptica”.
29 lunes, número 325: Glomerulonefritis aguda y síndrome nefrótico en el niño.
31 miércoles, número 326: Afecciones del tiroides en el niño.
