Isaacs, Harold — 78-0070/1, 12 Jan 78; 0070/17.

Ito, Chester — 78-0433/1, 6 Mar 78.

Ivy, Ronald — 78-1523/1, 24 Apr 78.

Jackson, John C. — 78-0588/1, 16 Feb 78.

Jaffee, Milton — 78-0070/22, 28 Feb 78.

James, Earl Anglin — 78-1069/1, 15 Mar 78.

Jarman, James Earl — 78-1057, 8 Mar 78.

Johnson, Marvin — 78-1057, 8 Mar 78.

Jones, Paul Roland — 78-0588/1, 16 Feb 78.

Jones, Robert E. — 78-0588/1, 16 Feb 78.

Kaiser, Frankie — 78-1057, 8 Mar 78.

Karamessines, Thomas — 78-0433/1, 6 Mar 78.

Karty, Floryan Randolph — 78-0433/1, 6 Mar 78.

Korchunova, Olga — 78-0070/27, 1 Mar 78.

Korengold, Robert J. — 78-1069/1, 15 Mar 78.

Kostikov, Valerie Vlademirovich — 78-0070/3, 26 Jan 78.

Kutner, Louis, aka Louis Cutner — 78-0588/1, 16 Feb 78.

Krulewitz, William, aka William Kroll — 78-1128, 22 Mar 78.

Kantor, Marvin — NR; 78-1455/1, 5 Apr 78.

Kramer, Monica — NR; 78-0986, 12 Apr 78.

Kimble, Jules Rocco (DOB: 8/3/43) — 78-1524/1, 21 Apr 78.
