ASHIS, Gudaric
AASAL, Glen
SHAWOOD, John
ADKINS, Matt
ADERHOLT, Harry Clay
RAGON, Ferruggia
BARAKAUSKAS, Algie
BROWN, James W.
SPEND, Horace III
Amthill-1 (Crypt)
ROSENBAUER, William A.
SENNAD, Major William A. Jr.
BEALE, W. H.
ELIAS, Alis
BECERT, Jerome F.
ERICKSON, Paul
KINANDER, James F.
BARQUIN, Casimir
BECKER, Alexander
BYZEK, Stephen Joe
BURKE, Paul J.
BRADFELD, Tony Edward
SHERWOOD, John
MELSERG, Robert L.
SHACKLEY, Theodore
BRANTLEY, Herbert
BURKE, Paul J.
BLAIR, William
CURRINGHAM, James Allen Jr.
CHAS, Peter
BARTLEY, Cletus Winton
CAREY, William David
CARTER, William R.
CROCE, Andrew
FLORES, Thomas J.
DAIGA, Janis
DALEY, V. J.
CHAPMAN, Harold E.
DILLON, John E.
DE GARDER, Constantine
DEMONS, William H.
DALY, Vincent S.
DUBOIS, Rona E.
ECAN, Frank J.
ENTERS, Rudolf A.
EDWARDS, William Monroe Jr.
None
HEATH, Donald R.
FUCHS, Robert H.
FRANKLIN, Lucian V. Jr.
FLICK, Charles E.

105. KRIFSTED, George 106. MULANE, Corrald J.

BOND, John
PARRA, Frank
GREGG, Charles
BRECOLAT, Pedro Gonzalez
GOUDIA, Cecil Mario
TISLER, Frantz
GREEN, Bill
GRANAM, Barbara
HUNT, Howard
NONE
HARKINS, Jack
HORN, Rufus A. Jr.
HILDALGO, Barney
HEMITT, Thomas N.

HECHT, Elmer Edward
TWASKIM, Andrij
JENCSOK, Stephen
JARCHUK, Nicholas
JAROSZEWCZ, Sigmund
JAUNZEITS, Ulris
JOANSON, Ivan
JASUZOW, Nikolai
MYERS, Benjamin Franklin
KAPUSTA, Peter
KARELINS, Zigurs
BRYAZHINSKY, Myron
KCCELA, Paul
KAPPES, G.
KURTZ, Walter
KIDA, Jack
KENNEDY, John W.
KRUTTHOLOMA, Walter
KREGZDYS, Joseph

LANDERGS, John

LEE, Watson Hwa Shen
MAYERFELD, Ernest
KLEIN, Theodore
LOPUSZAUSKY, Pyroslav
LUPU, Andrei Nicolae
Unknown
MAHONEY, Philip J.
CHAPMAN, Harold E. 100. NASLOVSKY, Igor 101. MARTINEZ, Ruben 102. SMITH, Haviland Jr. 103. MOORE, Andrew F. 104. NARSAK, Frank 105. KRIFSTED, George 106. MULANE, Corrald J.
