PCCG CILLCTCH OF THE BANK STATEMENT

STATIST "II"

Fize No.2

Date Check No. Total

Dec. 27 1369 34.35

Dec. 27 1370 357.00

Dec. 27 1371 80.00

Dec. 27 1372 151.58

Dec. 27 1373 50.00

Dec. 28 1379 100.00

Dec. 28 1380 2,000.00

Dec. 28 1381 250.00

Dec. 28 1382 150.00

Dec. 28 1383 150.00

Dec. 28 1384 44.10

Dec. 29 1385 101.70

Dec. 29 1386 89.00

Dec. 30 1388 21.48

Dec. 30 1389 $7.30

Dec. 30 1390 $7.30

Dec. 30 1391 73.26

Dec. 30 1392 151.00

Dec. 30 1393 34.25

Dec. 30 1394 50,000.00

Dec. 30 1395 $7.30

Dec. 30 1397 151.47

Dec. 30 1398 44.10

Dec. 30 1399 356.94

Dec. 30 1400 357.30

Dec. 31 1401 2,337.00

Dec. 31 1402 3,499.72

Dec. 31 1403 2,877.36

Dec. 31 1404 190.00

Dec. 31 1405 1,319.99

Corrected Bank Balance; December 31, 1960 $137,221.19M

ml.
