Date Check No. Total

Dec. 13 1207 50.00

Dec. 13 1209 50.00

Dec. 13 1210 50.00

Dec. 13 1211 50.00

Dec. 15 1226 150.00

Dec. 15 1226 50.00

Dec. 15 1226 50.00

Dec. 15 1226 50.00

Dec. 15 1226 41.70

Dec. 15 1229 250.00

Dec. 15 1262 50.00

Dec. 15 1263 150.00

Dec. 15 1282 60.00

Dec. 16 1283 50.00

Dec. 16 1284 50.00

Dec. 19 1291 10.00

Dec. 19 1291 30.00

Dec. 20 1295 40.00

Dec. 20 1304 50.00

Dec. 20 1305 40.00

Dec. 21 1307 60.00

Dec. 21 1325 50.00

Dec. 21 1326 50.00

Dec. 21 1327 50.00

Dec. 21 1329 100.00

Dec. 22 1335 100.00

Dec. 23 1349 50.00

Dec. 23 1354 50.00

Dec. 23 1355 40.00

Dec. 23 1356 30.00

Dec. 23 1357 50.00

Dec. 23 1358 50.00

Dec. 23 1359 50.00

Dec. 23 1361 50.00

Dec. 23 1362 50.00

Total Occasional $4,701.70

TOTAL HELP TO REFUGEES 5,176.70

ml.
