(44)

FORM 1304

11-97

28/CAP/CONG:rep

EXT.:

SGS

DISTR.:

SUBJECT

CLASSIFICATION

14 OCT 64

FILE:

45-11 '64

PRIORITY INITIALS DTG. NUMBER

OPERATIONAL IMMEDIATE I D N

DEFERRED P T E

ROUTINE R O C

CITE

WAVE

NUMBER

D circ

TYPE AUTHENTICITY

DEP: WAVE __

IDENTITIES:

A. DADE COUNTY MEDICAL ASSOCIATION.

B. STATION OFFICE.

END OF MESSAGE

GROUP-1 - EXCLUDED FROM AUTOMATIC DOINGAWAY AND DECLASSIFICATION.

C/Cover Br. __

B E L S A S I G O N

ANDREW H. LEAHY OFFICE CHIEF

OUTGOING

RECEIVED BY: JOHN H. MCGINNIS DATE: 10/23/84

ANDREW H. LEAHY SECRETARY TO THE BOARD

ANDREW H. LEAHY OFFICE CHIEF

DOCUMENTS TO BE DISSEminated TO OFFICERS FOR REVIEW AND APPROVAL BY THE CHIEF OFFICER, AS SOON AS POSSIBLE.

CONFIDENTIAL INFORMATION OFFICE CHIEF'S USE ONLY

CONFIDENTIAL INFORMATION FOR PERSONAL USE ONLY

CONFIDENTIAL INFORMATION FOR INTERNAL USE ONLY

CONFIDENTIAL INFORMATION FOR PERSONAL USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE ONLY

CONFIDENTIAL INFORMATION FOR DEPARTMENT USE ONLY

CONFIDENTIAL INFORMATION FOR OFFICE USE
