Federal Bureau of Investigation, Communications Section.

NR007 AT CODE.

March 27, 1975. 9:46 PM NITEL, March 27, 1975 SSP.

To: Director, FBI. From: Atlanta (100-0).

Senate Select Committee on Intelligence Activities.

Re Atlanta teletype to Director, March 26, 1975.

Under per cent of time column, “IS” stands for Internal Security and “CI” stands for Counterintelligence.

Position: 1 SAC; IS: 4; CI: 1.  
Position: 1 ASAC; IS: 2; CI: 1.  
Position: 1 Supervisor; IS: 45; CI: 30.  
Position: 1 Supervisor; IS: 3; CI: 0.  
Position: 1 Headquarters City Agent; IS: 100; CI: 0.  
Position: 1; IS: 85; CI: 15.  
Position: 1; IS: 80; CI: 20.  
Position: 1; IS: 90; CI: 0.  
Position: 1; IS: 0; CI: 90.  
Position: 1; IS: 85; CI: 5.  
Position: 1; IS: 75; CI: 45.  
Position: 1; IS: 60; CI: 20.
