Item No. 300, MSS p. no. 426  
Item No. 308, MSS p. no. 437  
Item No. 318, MSS p. no. 469  
Item No. 319, MSS p. no. 470  
Item No. 320, MSS p. no. 471  
Item No. 321, MSS p. no. 471  
Item No. 322, MSS p. no. 473  
Item No. 323, MSS p. no. 474  
Item No. 331, MSS p. no. 482  
Item No. 332, MSS p. no. 482  
Item No. 333, MSS p. no. 483  
Item No. 334, MSS p. no. 483  
Item No. 335, MSS p. no. 483  
Item No. 336, MSS p. no. 484  
Item No. 337, MSS p. no. 507  
Item No. 339 (line 1, first two words and fifth, sixth and seventh words), MSS p. no. 509
