Procedencia: Cequascaliente Oga; Oyayi: Puembla Puel; Yanudal: Enplado.

Procedencia: Puembla Puil; Oyayi: Puella Puebla; Yanudal: Enplado.

Procedencia: D. F.; Oyayi: D. F.; Yanudal: Munies.

Procedencia: Acueritao; Oyayi: A Enplado; Yanudal: etx.

Procedencia: Chikundana; Oyayi: Enplado; Yanudal: etx.

Procedencia: Tonean Cash; Oyayi: Hoyar; Yanudal: etx.

Procedencia: Reynosa Tamp; Oyayi: Enplado; Yanudal: etx.

Procedencia: Sap luis gat; Oyayi: Enplado; Yanudal: etx.

Procedencia: Elkendhara; Oyayi: Enplado; Yanudal: etx.

Procedencia: Torren Eosb; Oyayi: Enplado; Yanudal: etx.

Procedencia: Sattillo Rosb; Oyayi: Enplado; Yanudal: etx.

Procedencia: San luis gat; Oyayi: Enplado; Yanudal: etx.

Procedencia: O Juarez chid; Oyayi: Enplato; Yanudal: etx.

Procedencia: San Luis gat; Oyayi: Enplado; Yanudal: etx.

Procedencia: Veroos Ver; Oyayi: Enplado; Yanudal: etx.

Procedencia: Chikundava; Oyayi: Enplado; Yanudal: etx.

Procedencia: USA Texas; Oyayi: Enplado; Yanudal: etx.

Procedencia: Peris Fliego; Oyayi: Enplado; Yanudal: etx.

Procedencia: Jantoo Pedran; Oyayi: Lengto; Yanudal: etx.

Procedencia: Monig Resendis; Oyayi: Jatllko Eosb; Yanudal: Enplado.

Procedencia: Sr. R. Ig. y Famli; Oyayi: Chikundava; Yanudal: Comte.

Procedencia: Sr. Repuns; Oyayi: Lomcon Eosb; Yanudal: Enplado.

Procedencia: Salkino Monting; Oyayi: Acueritao A Enplado; Yanudal: etx.

Procedencia: Sa, O, Sanходa Road montorc 22; Oyayi: Enplado; Yanudal: etx.

Procedencia: Alfredo Carua; Oyayi: Guansfuto Ito Enplado; Yanudal: etx.

Procedencia: morrio Ale-Torre; Oyayi: Puembla Puel; Yanudal: Comte - eee.

Procedencia: Miamul Somali; Oyayi: manterre 11.
