; 1; 10/2017

104-10428-10014; 4; 10/2017

104-10428-10015; 6; 05/2001

104-10428-10016; 1; 05/2001

104-10428-10017; 3; 10/2017

104-10428-10018; 3; 10/2017

104-10428-10019; 12; 10/2017

104-10428-10020; 4; 05/2001

104-10429-10000; 4; 10/2017

104-10429-10001; 3; 10/2017

104-10429-10002; 1; 10/2017

104-10431-10000; 1; 10/2017

104-10431-10002; 18; 10/2017

104-10431-10004; 2; 10/2017

104-10433-10000; 1; 10/2017

104-10433-10001; 2; 10/2017

104-10433-10002; 1; 10/2017

104-10433-10003; 3; 10/2017

104-10433-10006; 8; 05/2001

104-10433-10009; 1; 05/2001

104-10433-10012; 9; 10/2017

104-10433-10013; 3; 05/2001

DOJ Documents: Open in Full

186-10007-10000; 0; 10/2017

186-10007-10006; 0; 10/2017

186-10007-10007; 0; None

186-10007-10008; 0; None

186-10007-10009; 0; None
