13-00000 
194-10003-10176; O; None 
194-10003-10177; O; None 
194-10003-10179; O; None 
194-10003-10180; O; None 
194-10003-10181; O; None 
194-10003-10183; O; None 
194-10003-10184; O; None 
194-10003-10185; O; None 
194-10003-10186;0;None 
194-10003-10187; O; None· 
194-10003-10189;0;None 
194-i0.003-10190;0;None 
194-10003-10191;0;None 
194-10003-10192;0;None 
194-10003-10193;0;None 
194-10003-10194; O; None 
194-10003-10195;0;None 
194-10003-10197; O; None_ 
194-10003-10198;0;None 
194-10003-10202;0;None 
194-10003-10203; O; None 
194-10003-10204;0;None 
. 194-10003-10205; O; None 
194-10003-10209;0;None 
194-10003-10231; O; None 
194-10003-10240; O; None 
194-10003-10248; O; None 
194-10003-10249; O; None 
50 
